Sample,Complex,Interval,P.Value
DM01,NDUFB8,UP,1
DM01,NDUFB8,DOWN,1
DM01,MTCO1,UP,1
DM01,MTCO1,DOWN,0
DM02,NDUFB8,UP,0.2456
DM02,NDUFB8,DOWN,0
DM02,MTCO1,UP,0
DM02,MTCO1,DOWN,0.4976
DM03,NDUFB8,UP,0.41
DM03,NDUFB8,DOWN,0.0376
DM03,MTCO1,UP,1
DM03,MTCO1,DOWN,0
DM04,NDUFB8,UP,0
DM04,NDUFB8,DOWN,0
DM04,MTCO1,UP,0.7664
DM04,MTCO1,DOWN,0.0246
DM05,NDUFB8,UP,0.32
DM05,NDUFB8,DOWN,0
DM05,MTCO1,UP,1
DM05,MTCO1,DOWN,0
DM06,NDUFB8,UP,1
DM06,NDUFB8,DOWN,0
DM06,MTCO1,UP,1
DM06,MTCO1,DOWN,0
DM07,NDUFB8,UP,0.9918
DM07,NDUFB8,DOWN,0.0036
DM07,MTCO1,UP,0
DM07,MTCO1,DOWN,1
DM08,NDUFB8,UP,8.00E-04
DM08,NDUFB8,DOWN,0.9978
DM08,MTCO1,UP,0.0014
DM08,MTCO1,DOWN,0.8618
DM10,NDUFB8,UP,0
DM10,NDUFB8,DOWN,0
DM10,MTCO1,UP,0.001
DM10,MTCO1,DOWN,0.4306
DM11,NDUFB8,UP,1
DM11,NDUFB8,DOWN,0.0116
DM11,MTCO1,UP,1
DM11,MTCO1,DOWN,0.0182
